## SOURCE: tutorial.gst.gov.in/downloads/news/approved_monthly_gst_data_for_publishing_mar_2025.pdf
## TITLE: GST Gross and Net Collections as on 31/03/2025
## PERIOD: Full Year FY 2024-25 (April 2024 - March 2025)
## UNIT: Rs in Crores
## NOTES: Numbers are provisional and may slightly vary on finalisation

category,component,monthly_mar24,monthly_mar25,monthly_growth_pct,yearly_fy24,yearly_fy25,yearly_growth_pct
A1_Domestic,CGST,34532,38145,,375710,413776,
A1_Domestic,SGST,43746,49891,,471195,516448,
A1_Domestic,IGST,47625,50071,,543704,603582,
A1_Domestic,CESS,11263,11116,,132639,141892,
A1_Domestic,TOTAL,137166,149222,8.8,1523248,1675697,10.0
A2_Imports,IGST,40322,45782,,483086,521754,
A2_Imports,CESS,996,1137,,11915,11411,
A2_Imports,TOTAL,41318,46919,,495001,533164,
A3_Gross,CGST,34532,38145,,375710,413776,
A3_Gross,SGST,43746,49891,,471195,516448,
A3_Gross,IGST,87947,95853,,1026790,1125335,
A3_Gross,CESS,12259,12253,,144554,153303,
A3_Gross,TOTAL,178484,196141,9.9,2018249,2208861,9.4
B1_Refund_Domestic,CGST,2915,2621,,30307,33493,
B1_Refund_Domestic,SGST,3543,3661,,37542,42637,
B1_Refund_Domestic,IGST,4477,5052,,53406,56115,
B1_Refund_Domestic,CESS,277,192,,2340,2912,
B1_Refund_Domestic,TOTAL,11213,11526,2.8,123595,135157,9.4
B2_Refund_Imports,IGST,2640,8071,,92038,115979,
B2_Refund_Imports,CESS,39,18,,1542,1691,
B2_Refund_Imports,TOTAL,2679,8089,201.9,93580,117670,25.7
B3_Total_Refund,CGST,2915,2621,,30307,33493,
B3_Total_Refund,SGST,3543,3661,,37542,42637,
B3_Total_Refund,IGST,7117,13123,,145444,172094,
B3_Total_Refund,CESS,316,210,,3882,4603,
B3_Total_Refund,TOTAL,13892,19615,41.2,217174,252827,16.4
C1_Net_Domestic,CGST,31617,35524,,345404,380283,
C1_Net_Domestic,SGST,40203,46230,,433653,473811,
C1_Net_Domestic,IGST,43147,45019,,490298,547467,
C1_Net_Domestic,CESS,10986,10924,,130299,138979,
C1_Net_Domestic,TOTAL,125953,137696,9.3,1399654,1540539,10.1
C2_Net_Customs,IGST,37683,37711,,391048,405775,
C2_Net_Customs,CESS,956,1119,,10373,9720,
C2_Net_Customs,TOTAL,38639,38830,0.5,401421,415495,3.5
C3_Net_Total,CGST,31617,35524,,345404,380283,
C3_Net_Total,SGST,40203,46230,,433653,473811,
C3_Net_Total,IGST,80830,82730,,881346,953242,
C3_Net_Total,CESS,11942,12043,,140672,148699,
C3_Net_Total,TOTAL,164592,176526,7.3,1801075,1956034,8.6
