## SOURCE: tutorial.gst.gov.in/downloads/news/revenue_report_oct24.pdf
## TITLE: GST Gross and Net Collections -- October 2024
## UNIT: Rs in Crores

category,component,oct_2023,oct_2024,monthly_growth_pct,ytd_oct23,ytd_oct24,ytd_growth_pct
A1_Domestic,CGST,30062,33821,,215846,237373,
A1_Domestic,SGST,38171,41864,,270777,294365,
A1_Domestic,IGST,49188,54878,,311091,351963,
A1_Domestic,CESS,11162,11688,,75940,81437,
A1_Domestic,TOTAL,128582,142251,10.6,873654,965138,10.5
A2_Imports,IGST,42127,44233,,283841,302524,
A2_Imports,CESS,1294,862,,7017,6779,
A2_Imports,TOTAL,43421,45096,3.9,290857,309303,6.3
A3_Gross,CGST,30062,33821,,215846,237373,
A3_Gross,SGST,38171,41864,,270777,294365,
A3_Gross,IGST,91315,99111,,594931,654488,
A3_Gross,CESS,12456,12550,,82957,88216,
A3_Gross,TOTAL,172003,187346,8.9,1164511,1274442,9.4
B1_Refund_Domestic,CGST,1770,2521,,17502,19423,
B1_Refund_Domestic,SGST,2236,3147,,21695,24240,
B1_Refund_Domestic,IGST,3201,4536,,31050,31339,
B1_Refund_Domestic,CESS,145,293,,1159,1918,
B1_Refund_Domestic,TOTAL,7352,10498,42.8,71405,76920,7.7
B2_Refund_Imports,IGST,8816,8606,,57135,68843,
B2_Refund_Imports,CESS,167,202,,1060,1086,
B2_Refund_Imports,TOTAL,8983,8808,-2.0,58195,69930,20.2
B3_Total_Refund,TOTAL,16335,19306,18.2,129600,146849,13.3
C1_Net_Domestic,TOTAL,121231,131753,8.7,802248,888219,10.7
C2_Net_Customs,TOTAL,34438,36288,5.4,232662,239374,2.9
C3_Net_Total,TOTAL,155668,168041,7.9,1034911,1127593,9.0
