## SOURCE: tutorial.gst.gov.in/downloads/news/approved_monthly_gst_data_for_publishing_mar_2025.pdf
## TITLE: State-wise growth of GST Revenues during March 2025 (Table 1)
## NOTE: Does not include GST on import of goods
## UNIT: Rs in Crores

state,mar_24,mar_25,growth_pct
Jammu and Kashmir,601,595,-1
Himachal Pradesh,852,829,-3
Punjab,2090,2172,4
Chandigarh,238,241,1
Uttarakhand,1730,1742,1
Haryana,9545,10648,12
Delhi,5820,6139,5
Rajasthan,4798,5498,15
Uttar Pradesh,9087,9956,10
Bihar,1991,2599,30
Sikkim,303,349,15
Arunachal Pradesh,168,174,4
Nagaland,83,85,2
Manipur,69,57,-18
Mizoram,50,46,-8
Tripura,121,160,32
Meghalaya,213,268,26
Assam,1543,1708,11
West Bengal,5473,5827,6
Jharkhand,3243,3309,2
Odisha,5109,5809,14
Chhattisgarh,3143,3721,18
Madhya Pradesh,3974,4173,5
Gujarat,11392,12095,6
Dadra and Nagar Haveli and Daman and Diu,452,386,-15
Maharashtra,27688,31534,14
Karnataka,13014,13497,4
Goa,565,680,20
Lakshadweep,2,3,27
Kerala,2598,2829,9
Tamil Nadu,11017,11795,7
Puducherry,221,251,14
Andaman and Nicobar Islands,32,51,60
Telangana,5399,5401,0
Andhra Pradesh,4082,4033,-1
Ladakh,41,48,17
Other Territory,196,221,13
Center Jurisdiction,220,292,32
Grand Total,137166,149222,8.79
